Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2014.10.06	1964,82	322,2	587,78	77,555	46,09	104,86	29,17	94,52	60,18	208585	126,26	93,26	77,35	52,03	50,08	93,37
2014.10.07	1935,1	316,98	574,1	76,29	45,53	102,39	28,79	93,37	59,27	205035	123,32	92,47	77,3	51,08	49,68	93,1
2014.10.08	1968,89	322,7	583,74	77,52	46,78	104,91	29,38	94,61	60,4	209950	124,98	94,09	78,24	52,15	49,87	93,94
2014.10.09	1928,21	315,37	570,81	75,91	45,85	102,08	28,99	91,82	59,08	205850	122,76	93,07	77,86	51,12	48,93	93,57
2014.10.10	1906,13	311,39	555,19	72,91	44,03	101,23	29,13	91,6	58,52	205150	121,5	92,55	78,29	50,64	48,94	94,65
2014.10.13	1874,74	306,45	544,75	72,99	43,65	99,12	28,47	90,84	58,16	204913,11	120,45	90,6	77,56	50,2	48,37	93,94
2014.10.14	1877,7	308,31	548,69	73,59	43,73	97,01	28,46	90,55	57,99	206025	122,29	90,1	77,98	48,83	48,22	93,01
2014.10.15	1862,49	305,97	540,73	73,21	43,22	98,21	28,19	90,22	55,53	203800	120,19	87,85	75,2	47,85	47,92	91,77
2014.10.16	1862,76	302,86	536,92	72,63	42,74	96,78	27,7	90,6	55,08	202000,09	120,29	88,88	73,82	48,13	47,67	90,79
2014.10.17	1886,76	303,64	522,97	75,95	43,63	98,7	27,83	91,21	56,2	205505	123,24	90,24	74,1	48,69	48,07	91,51
2014.10.20	1904,01	306,21	532,38	76,95	44,08	99,2	27,93	91,77	56,63	205850	124,31	91,85	75,14	49,18	48,48	93,55
2014.10.21	1941,28	315,33	538,03	78,69	44,88	100,36	28,28	93,65	57,93	208330	127,12	94,2	76,02	50,45	48,69	93,73
2014.10.22	1927,11	312,97	542,69	78,37	44,38	101,22	28,3	93,13	57,45	206525	121,45	93,34	76,03	50,17	48,31	94,46
2014.10.23	1950,82	313,18	553,65	80,04	45,02	102,63	28,6	94,11	58,06	208109	122,03	94,8	76,25	50,6	48,22	93,76
2014.10.24	1964,58	287,06	548,9	80,67	46,13	103,13	29,11	94,49	58,74	209251	122,24	94,99	76,38	51,2	48,77	94,6
2014.10.27	1961,63	289,97	549,88	80,28	45,91	104,07	29,03	93,71	58,64	209222	122,12	95,47	76,59	51,31	49,42	94,62
2014.10.28	1985,05	295,59	558,94	80,77	46,49	104,79	29,09	95,1	59,63	210570	123,61	96,59	76,35	51,78	49,96	95,26
2014.10.29	1982,3	294,12	558,45	75,86	46,62	105,56	29,49	94,59	59,29	209600,2	123,08	96,42	76,39	52,17	49,83	94,69
2014.10.30	1994,65	299,07	560,27	74,11	46,05	107,04	29,84	94,45	59,39	209030,61	123,82	97,52	76,45	52,46	49,9	95,65
2014.10.31	2018,05	305,46	567,87	74,99	46,95	107,78	29,95	96,71	60,48	210000	124,91	97,52	76,27	53,09	50,25	96,17
2014.11.03	2017,81	305,72	563,77	73,88	47,44	107,46	30,19	95,26	60,88	211100	126,03	96,09	76,28	53,37	50,39	95,83
2014.11.04	2012,1	302,81	564,19	75,76	47,57	108,62	30,28	94,52	60,25	213000	125,84	95,96	77,26	53,27	50,33	96,73
2014.11.05	2023,57	296,52	555,95	74,83	47,86	108,82	30,04	95,07	61,15	214155	124,22	95,78	77,7	53,53	50,34	96,89
2014.11.06	2031,21	296,64	551,69	75,26	48,7	109,01	30,04	96,26	61,23	214800	124,58	97,29	77,81	54,06	50,28	96,81
