Start Date	2014.01.01															
End Date	2019.01.01															
																
	SPX Index	AMZN US Equity	GOOGL US Equity	FB US Equity	MSFT US Equity	JNJ US Equity	PFE US Equity	XOM US Equity	JPM US Equity	BRK/A US Equity	BA US Equity	HD US Equity	WMT US Equity	WFC US Equity	VZ US Equity	PEP US Equity
	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST	PX_LAST
2015.03.26	2056,15	367,35	563,64	83,01	41,21	100,14	34,16	84,32	59,54	216240	148,17	112,37	81,89	54,5	48,42	95,63
2015.03.27	2061,02	370,56	557,55	83,3	40,97	100,34	34,53	83,58	59,55	217000,09	148,85	113,86	81,35	54,12	48,56	95,95
2015.03.30	2086,24	374,59	561,135	83,195	40,96	101,55	35	85,63	60,96	219700	152,7	114,63	82,53	54,77	49,12	96,52
2015.03.31	2067,89	372,1	554,7	82,215	40,655	100,6	34,79	85	60,58	217500	150,08	113,61	82,25	54,4	48,63	95,62
2015.04.01	2059,69	370,255	549,49	81,665	40,72	99,15	34,33	84,46	59,95	216300	148,64	113,13	80,71	53,94	48,92	95,09
2015.04.02	2066,96	372,25	541,31	81,555	40,29	99,64	34,38	84,3	60,52	216500	149,28	114,54	80,73	54,37	49,47	95,69
2015.04.03	2066,96	372,25	541,31	81,555	40,29	99,64	34,38	84,3	60,52	216500	149,28	114,54	80,73	54,37	49,47	95,69
2015.04.06	2080,62	377,04	543,95	82,44	41,545	99,16	34,48	85,13	60,47	216275	150,93	114,95	80,99	54,08	49,63	96,48
2015.04.07	2076,33	374,41	544,86	82,32	41,53	100,1	34,54	85,75	60,85	215500	152,32	114,3	80,5	54,02	49,27	96,21
2015.04.08	2081,9	381,2	548,84	82,275	41,42	100,16	34,64	84,06	61,05	214828	153,36	115,59	81,03	54	49,13	96,03
2015.04.09	2091,18	383,54	548,02	82,17	41,48	101,33	35,03	84,65	61,47	215522,77	153,42	114,57	80,84	54,19	49,01	96,35
2015.04.10	2102,06	382,65	548,54	82,04	41,72	102,06	35,44	85,56	61,7	215211	154,38	115,24	80,65	54,32	49,22	96,2
2015.04.13	2092,43	382,36	548,64	83,01	41,76	100,55	35,09	85,34	62,07	215950	153,24	114,44	80,29	54,59	49,04	95,53
2015.04.14	2095,84	385,11	539,78	83,515	41,65	100,52	35,03	86,63	63,04	214420	153,21	114,05	80,15	54,19	49,18	96,49
2015.04.15	2106,63	383,45	541,04	82,705	42,255	100,6	35,21	88,08	64,21	214675,09	152,43	113,45	79,74	54,81	49,39	96,63
2015.04.16	2104,99	386,04	543,52	82,31	42,16	99,79	35,19	87,73	63,81	214350	151,97	113,37	79,24	54,81	49,27	96,45
2015.04.17	2081,18	375,56	532,74	80,775	41,615	99,58	35,04	86,93	62,84	212982	149,6	112,1	77,88	54,05	48,9	95,81
2015.04.20	2100,4	389,51	544,53	83,09	42,905	100,21	35,01	87,24	63,24	214100	152,67	112,86	78,14	54,36	49,38	96,5
2015.04.21	2097,29	391,18	542,925	83,62	42,635	100,3	34,89	86,88	62,31	213440	153,33	113,17	78,03	54,28	49,17	96,78
2015.04.22	2107,96	389,8	549,18	84,63	42,985	100,43	34,93	87,46	62,94	214789	151,19	112,99	78,43	54,67	49,57	97,28
2015.04.23	2112,93	389,99	557,46	82,41	43,34	100,46	35,36	87,54	62,8	214740	149,87	113,96	79,18	54,86	50,05	95,73
2015.04.24	2117,69	445,1	573,66	81,53	47,87	101,08	35,27	86,97	62,6	214490	148,4	113,7	79,84	54,7	50,03	95,17
2015.04.27	2108,92	438,56	566,12	81,91	48,03	100,58	34,59	87,01	62,34	212585	147,8	111,39	79,37	54,97	50,08	94,49
2015.04.28	2114,76	429,31	564,37	80,68	49,155	100,74	34,48	87,8	62,76	215150	147,51	110,58	79,1	55,41	50,55	94,42
2015.04.29	2106,85	429,37	561,39	80,465	49,06	100,39	34,29	87,87	63,6	214400	146,15	108,71	77,88	55,46	50,47	94,38
2015.04.30	2085,51	421,78	548,77	78,77	48,64	99,2	33,93	87,37	63,26	213400	143,34	106,98	78,05	55,1	50,44	95,12
2015.05.01	2108,29	422,87	551,16	78,99	48,655	100,13	34,08	88,85	63,61	215800	144,67	109,55	78,6	55,19	50,41	95,56
2015.05.04	2114,49	423,04	552,84	78,81	48,24	100,35	34,32	89,11	64,72	219290	144,02	110,06	79,18	55,73	50,52	95,95
2015.05.05	2089,46	421,19	543,045	77,56	47,6	99,5	34,12	88,61	64,4	218000,14	142,91	108,06	78,13	55,72	50,09	95,42
2015.05.06	2080,15	419,1	535,08	78,1	46,28	99,17	33,46	88,19	63,92	216620	141,04	108,31	77,65	54,92	49,64	95,48
2015.05.07	2088	426,88	542,04	78,425	46,7	99,66	33,58	87,6	64,5	218720	141,49	110,04	78,03	54,81	49,73	95,15
2015.05.08	2116,1	433,69	548,95	78,51	47,75	101,47	34,02	88,99	65,49	222880	145,46	112,47	78,53	56,05	50,14	96,55
2015.05.11	2105,33	432,85	545,78	78,01	47,37	101,03	33,96	86,78	65,45	219550	145,89	111,9	78,1	55,51	49,8	96,35
2015.05.12	2099,12	431,02	538,73	77,46	47,35	100,47	33,78	87,02	65,36	217800	145,43	112,52	78,96	55,47	49,62	96,2
2015.05.13	2098,48	426,87	539,49	78,44	47,625	100,55	33,53	86,56	65,52	217200	145,62	111,19	78,16	55,6	49,73	96,41
2015.05.14	2121,1	432,28	549,2	81,37	48,72	101,83	33,94	86,97	66,05	219270	147,96	111,94	78,72	56,04	49,97	98
2015.05.15	2122,73	426	546,49	80,42	48,295	102,3	33,99	87,35	65,88	218640	146,88	113,35	79,24	55,52	49,79	98,22
2015.05.18	2129,2	425,24	546,67	80,88	48,01	103,42	33,98	86,85	66,42	219125,33	146,71	114,33	79,92	55,75	49,6	98,05
2015.05.19	2127,83	421,71	549,28	80,63	47,58	103,96	34,21	86,99	67,01	220400	147,05	112,34	76,43	56,4	49,55	97,95
2015.05.20	2125,85	423,86	552,51	80,55	47,58	103,6	34,3	87,13	66,48	219526	146,42	112,1	75,9	56,08	49,69	97,69
2015.05.21	2130,82	431,63	556,81	80,48	47,42	102,42	34,36	87,21	66,65	218279,98	147,35	112,01	76,11	56,01	49,9	97,2
2015.05.22	2126,06	427,63	554,52	80,54	46,9	101,35	34,28	86,52	66,47	217000	144,81	112,16	75,86	56	49,61	96,26
2015.05.25	2126,06	427,63	554,52	80,54	46,9	101,35	34,28	86,52	66,47	217000	144,81	112,16	75,86	56	49,61	96,26
2015.05.26	2104,2	425,47	547,19	79,335	46,59	100,82	34,11	85,35	65,73	215700	142,8	110,93	74,9	55,66	49,42	95,79
2015.05.27	2123,48	431,42	554,25	80,55	47,61	101,13	34,3	85,11	66,47	217440	143	112,16	75,19	56,07	49,57	96,38
2015.05.28	2120,79	426,57	554,18	80,145	47,45	101,15	34,44	85,11	66,2	217580	142,33	112,19	74,84	56,21	49,54	97,06
2015.05.29	2107,39	429,23	545,32	79,19	46,86	100,14	34,75	85,2	65,78	214800	140,52	111,42	74,27	55,96	49,44	96,43
2015.06.01	2111,73	430,92	549,21	80,29	47,23	100,04	34,56	85,13	66,08	215400	141,25	111,67	74,73	56,04	49,22	95,97
2015.06.02	2109,6	430,99	553,95	80,445	46,92	99,98	34,49	85,14	66,02	214820	143,25	111,59	74,53	56,18	49,14	96,05
2015.06.03	2114,07	436,59	555,29	82,44	46,85	100,09	34,41	84,95	66,7	214600	143,81	113,16	74,89	56,91	49,08	95,3
2015.06.04	2095,84	430,78	551,69	82,05	46,36	99,23	34,24	84,22	66,33	212585,39	141,19	111,46	74,15	56,14	48,1	94,14
2015.06.05	2092,83	426,95	549,53	82,14	46,14	98,59	34,09	84,28	67,42	211560	140,73	110,37	73,06	56,61	47,23	93,05
2015.06.08	2079,28	423,5	543,48	80,67	45,73	97,96	33,98	84,85	66,89	210000	140,64	109,93	72,61	56,12	47,44	92,84
2015.06.09	2080,15	425,48	542,16	80,67	45,65	98,21	34,01	84,58	67,18	209700	140,1	109,53	72,47	56,7	47,34	93,07
2015.06.10	2105,2	430,77	552,6	82,16	46,61	98,88	34,31	85,21	68,26	211400	141,62	110,98	72,93	57,21	47,47	93,69
2015.06.11	2108,86	432,97	550,04	81,83	46,44	99,24	34,46	85,09	68,52	211940	142,96	111,29	72,94	57,26	47,76	94,09
2015.06.12	2094,11	429,92	547,47	81,53	45,97	98,35	34,21	84,02	68,25	210760	142,8	110,6	72,43	57,09	47,25	93,74
2015.06.15	2084,43	423,67	543	80,71	45,475	97,49	34,04	83,72	67,99	209300	142,29	110,01	71,93	56,98	47	92,64
2015.06.16	2096,29	427,26	544,87	81,06	45,83	98,36	34,04	84,68	68,37	209760	142,34	110,23	72,35	57,22	47,42	93,55
2015.06.17	2100,44	427,81	546,6	81,79	45,97	98,73	33,98	84,73	68,14	210150	143,43	110,47	72,73	57,17	47,27	94,05
2015.06.18	2121,24	439,39	556,18	82,905	46,72	100,36	34,37	85,48	68,78	214050	145,38	111,85	72,98	57,7	47,77	95,23
2015.06.19	2109,99	434,92	557,52	82,51	46,1	99,86	34,18	85,21	68,08	212199,91	145,13	112,43	72,74	57,05	47,46	94,86
2015.06.22	2122,85	436,29	559,68	84,74	46,23	100,09	34,31	85,17	68,96	212580	145,7	113,07	72,79	57,91	47,53	95,6
2015.06.23	2124,2	445,99	563,39	87,88	45,91	99,78	34,5	85,07	69,75	211900	144,43	113,18	72,57	57,89	47,77	95,6
2015.06.24	2108,58	440,84	558,57	88,86	45,635	99,33	34,23	84,68	69,02	210500	143	112,35	72,38	57,54	47,29	95,29
2015.06.25	2102,31	440,1	557,95	87,98	45,65	99,12	34,02	83,93	68,65	209600	142,45	112,24	71,86	57,17	47,44	94,83
2015.06.26	2101,49	438,1	553,06	88,01	45,26	99,64	33,92	83,86	68,95	209900	142,48	112,6	72,12	57,44	47,62	94,91
2015.06.29	2057,64	429,86	541,25	85,8	44,37	97,68	33,59	82,82	67,2	205000	138,73	110,54	71,42	56,06	46,77	93,69
2015.06.30	2063,11	434,09	540,04	85,765	44,15	97,46	33,53	83,2	67,76	204850	138,72	111,13	70,93	56,24	46,61	93,34
2015.07.01	2077,42	437,39	543,3	86,91	44,445	98,47	33,69	82,37	68,07	206365	140,73	112,07	71,88	56,91	47	94,52
2015.07.02	2076,78	437,71	547,34	87,285	44,4	98,44	33,37	83,14	67,52	205923	140,21	111,49	71,86	56,74	47,2	94,66
2015.07.03	2076,78	437,71	547,34	87,285	44,4	98,44	33,37	83,14	67,52	205923	140,21	111,49	71,86	56,74	47,2	94,66
2015.07.06	2068,76	436,04	545,62	87,55	44,39	98,2	33,25	82,53	67,33	205500,02	140,52	111,32	72,53	56,44	47,04	94,4
2015.07.07	2081,34	436,72	550,03	87,22	44,3	98,92	33,73	82,87	66,8	208150	143,15	112,4	73,79	56,25	47,25	96,4
2015.07.08	2046,68	429,7	541,7	85,65	44,24	97,77	33,45	81,97	65,43	206186	141,92	111	73,06	55,25	46,58	95,61
2015.07.09	2051,31	434,39	544,65	85,88	44,52	98,4	33,86	81,6	66,11	207740,05	142,8	111,38	72,78	55,5	46,26	94,59
2015.07.10	2076,62	443,51	556,11	87,95	44,61	99,53	34,36	82,22	67,05	209800	144,48	113,1	73,12	56,08	47	95,55
2015.07.13	2099,6	455,57	571,73	90,1	45,54	100,27	34,82	82,42	68,09	211720	146,62	114,9	73,88	56,74	47,2	97,22
2015.07.14	2108,95	465,57	584,18	89,68	45,62	99,78	35,08	83,11	69,04	211767	147,75	115,36	73,79	57,25	47,41	97,13
2015.07.15	2107,4	461,19	583,96	89,76	45,76	100,42	34,98	82,76	69,19	213800	146,89	115,58	73,65	57,78	47,33	96,35
2015.07.16	2124,29	475,48	601,78	90,85	46,66	101,11	35,1	82,91	69,56	215950	148,49	114,73	73,83	58,17	47,83	96,9
2015.07.17	2126,64	483,01	699,62	94,97	46,62	100,08	35,07	82,61	69,21	215960	146,84	114,47	73,39	57,94	47,59	96,78
2015.07.20	2128,28	488,1	692,84	97,91	46,92	100,37	35,24	81,76	69,26	216480	146,72	113,41	73,1	58,05	48,1	97,31
2015.07.21	2119,21	488	695,35	98,39	47,28	100,34	35,14	81,66	69,1	215796	145	113,86	72,74	57,95	46,97	96,93
2015.07.22	2114,15	488,27	695,1	97,04	45,54	100,18	34,88	81,79	70,08	215380	146,47	114,9	73,16	58,52	46,45	97,17
2015.07.23	2102,15	482,18	674,73	95,44	46,11	100,2	34,78	81,14	69,64	213520	146,11	114,59	72,51	58,21	46,35	96,87
2015.07.24	2079,65	529,42	654,77	96,95	45,94	99,15	34,26	79,94	68,91	212032,31	144,06	113,59	71,58	57,78	46,04	96,18
2015.07.27	2067,64	531,41	658,27	94,17	45,35	98,28	34,34	79,26	68,01	210725	141,03	113,07	71,38	57,59	45,83	95,66
2015.07.28	2093,25	526,03	659,66	95,29	45,34	99,02	35,35	82,48	68,05	215091	141,81	114,84	72,1	57,4	45,89	96,11
2015.07.29	2108,57	529	661,43	96,99	46,29	99,73	35,76	83,14	68,94	214320	144,14	116,37	72,23	57,96	46,56	96,53
2015.07.30	2108,63	536,76	664,56	95,21	46,88	99,84	35,73	83,01	69,04	214745	143,01	116,46	72,16	58,15	46,67	96,63
2015.07.31	2103,84	536,15	657,5	94,01	46,7	100,21	36,06	79,21	68,53	214000	144,17	117,03	71,98	57,87	46,79	96,35
2015.08.03	2098,04	535,03	664,72	94,14	46,81	100,02	36,15	78,06	68,53	213500	143,69	116,89	72,18	57,91	46,97	97,45
2015.08.04	2093,32	531,9	661,28	94,06	47,54	99,8	36,11	77,17	68,46	214150	143,54	117,53	72,25	57,82	46,67	97,81
2015.08.05	2099,84	537,01	673,29	96,44	47,58	100,52	35,82	77,17	68,73	215201	144,95	118	73,51	57,65	46,64	99,19
2015.08.06	2083,56	529,46	670,15	95,12	46,62	99,07	35,17	78,09	68,25	215650	143,82	116,56	72,79	57,53	46,63	99,15
2015.08.07	2077,57	522,62	664,39	94,3	46,74	98,85	35,19	76,83	68,05	215462,77	142,42	116,93	71,25	57,47	46,36	99,1
2015.08.10	2104,18	524	663,14	94,15	47,33	99,79	35,36	78,75	68,89	215300	145,86	117,6	71,48	57,94	47,23	99,09
2015.08.11	2084,07	527,46	690,3	93,62	46,41	99,01	35,12	77,49	68,23	214500	144,05	117,69	71,93	57,21	47,6	98,62
2015.08.12	2086,05	525,91	691,47	94,19	46,74	98,71	35,37	78,79	67,24	213000	142,43	117,69	72,58	56,72	47,85	98,38
2015.08.13	2083,39	529,66	686,51	93,43	46,73	98,48	35,36	78,65	67,55	213185	144,81	119,02	72,11	56,89	47,66	98,79
2015.08.14	2091,54	531,52	689,37	94,42	47	98,81	35,32	78,36	67,89	213981	145,09	119,75	72,38	57,33	47,49	99,23
2015.08.17	2102,44	535,22	694,11	93,93	47,32	99,87	35,5	78,77	68,07	213300	144,44	119,7	71,91	57,35	47,52	99,86
2015.08.18	2096,92	535,02	688,73	95,17	47,27	99,37	35,52	77,9	68,21	212100	144,6	122,8	69,48	57,54	47,46	99,77
2015.08.19	2079,61	532,92	694,04	95,31	46,61	99,31	35,27	76,23	67,6	210660	142,72	122,76	68,57	57,06	47,44	98,99
2015.08.20	2035,73	515,78	679,48	90,56	45,66	98,79	34,55	74,57	65,94	207862	137,02	120,54	68,43	56,12	46,88	97,98
2015.08.21	1970,89	494,47	644,03	86,06	43,07	95,56	33,54	72,13	63,6	202500	131,71	116,16	66,54	53,97	46,1	96,25
2015.08.24	1893,21	463,37	618,11	82,09	41,68	92,82	32,13	68,72	60,25	196005	127,19	112,54	63,95	51,25	44,74	91,83
2015.08.25	1867,61	466,37	612,47	83	40,47	90,73	31,34	68,71	59,91	194199,91	125,49	110,97	63,1	50,02	43,5	89,64
2015.08.26	1940,51	500,77	659,74	87,19	42,71	95,11	32,43	72,5	62,91	200499,91	129,34	115,93	64,83	52,3	45,16	92,49
2015.08.27	1987,66	518,37	667,96	89,73	43,9	96,22	33,26	74,85	64,48	204940	131,87	117,66	66,08	54,03	46,19	93,6
2015.08.28	1988,87	518,01	659,69	91,01	43,93	95,17	32,66	75,07	64,13	205344	133,24	117,52	64,94	53,54	46,07	93,53
2015.08.31	1972,18	512,89	647,82	89,43	43,52	93,98	32,22	75,24	64,1	202531	130,68	116,46	64,73	53,33	46,01	92,93
2015.09.01	1913,85	496,54	629,56	87,23	41,82	92,09	31,36	72,08	61,45	198144,3	127,44	113,07	63,82	50,99	44,9	91,33
2015.09.02	1948,86	510,55	644,91	89,89	43,36	93,35	31,97	73,23	62,57	199360	130,63	116,48	64,44	51,99	45,35	91,64
2015.09.03	1951,13	504,72	637,05	88,15	43,5	92,64	31,89	73,79	62,68	199665	131,02	116,6	64,86	52,43	45,72	92,13
2015.09.04	1921,22	499	628,96	88,26	42,61	91,31	31,37	72,46	61,5	196501	129,76	114,42	63,89	51,29	44,82	90,92
2015.09.07	1921,22	499	628,96	88,26	42,61	91,31	31,37	72,46	61,5	196501	129,76	114,42	63,89	51,29	44,82	90,92
2015.09.08	1969,41	517,54	643,88	89,53	43,89	93,94	32,53	73,5	63,16	200600	133,82	116,43	66,38	52,93	45,88	92,37
2015.09.09	1942,04	516,89	643,41	90,44	43,07	92,22	31,96	72	62,18	196875	132,65	113,97	65,12	52,19	45,39	90,83
2015.09.10	1952,29	522,24	651,08	91,98	43,29	92,72	32,62	72,52	62,66	197639	133,55	114,49	64,12	52,56	45,46	91,06
2015.09.11	1961,05	529,44	655,3	92,05	43,48	92,93	32,97	72,69	62,56	198329	134,67	115,44	64,65	52,62	45,73	91,62
2015.09.14	1953,03	521,38	652,47	92,31	43,04	93,32	32,71	72,49	62,38	197598	134,43	114,73	64,28	52,77	45,65	91,2
2015.09.15	1978,09	522,37	665,07	92,9	43,98	94,4	33,17	72,86	63,58	199305,05	136,3	116,18	64,32	53,47	46,37	92,06
2015.09.16	1995,31	527,39	665,52	93,45	44,3	94,61	33,18	74,3	64,14	199415	137,2	117,82	64,69	53,72	46,19	93,07
2015.09.17	1990,2	538,87	671,67	94,34	44,25	94,84	33,48	74,46	62,65	198100	137,45	117,91	64,47	52,21	45,23	93,37
2015.09.18	1958,03	540,26	660,92	94,4	43,48	93,39	32,85	72,68	60,94	192200	136,09	115,12	63,34	51,04	44,57	93,05
2015.09.21	1966,97	548,39	666,98	95,55	44,11	93,13	32,42	73,39	61,45	197022	136,02	116,58	63,72	51,55	44,8	93,71
2015.09.22	1942,74	538,4	653,2	92,96	43,9	93,24	32,26	72,74	60,91	195386	133,99	115,8	63,59	50,69	44,43	92,37
2015.09.23	1938,76	536,07	653,29	93,97	43,87	92,99	32,62	72,3	60,64	194479	131,67	116,17	63,72	50,78	43,98	92,4
2015.09.24	1932,24	533,75	654,91	94,41	43,91	92,48	32,7	72,73	60,22	193800	129,75	116,34	63,83	50,55	44,09	92,47
2015.09.25	1931,34	524,25	640,15	92,77	43,94	91	31,89	73,23	61,47	194620	131,01	116,74	63,78	51,48	44,22	93,47
2015.09.28	1881,77	504,06	624,25	89,21	43,29	91,37	30,82	72,6	59,98	193305	128,13	114,1	63,66	50,37	43,74	92,47
2015.09.29	1884,09	496,07	622,61	86,67	43,44	93,04	31,02	72,97	59,84	193621	128,75	112,91	63,78	50,89	43,53	93,04
2015.09.30	1920,03	511,89	638,37	89,9	44,26	93,35	31,41	74,35	60,97	195240	130,95	115,49	64,84	51,35	43,51	94,3
2015.10.01	1923,82	520,72	642	90,95	44,61	93,17	31,84	74,06	61,42	195739	130,61	117,03	64,27	51,44	42,96	93,85
2015.10.02	1951,36	532,54	656,99	92,07	45,57	93,93	33,08	75,88	60,81	195500	132,56	117,81	64,98	51,26	42,84	94,16
2015.10.05	1987,05	543,68	671,68	94,01	46,63	94,76	33,48	76,81	62,02	198561	134,02	119,2	65,87	52,41	44	95,81
2015.10.06	1979,92	537,48	671,64	92,8	46,75	93,42	32,79	77,89	62,05	196720	134,63	118,68	65,68	52,03	44,06	97,07
2015.10.07	1995,83	541,94	670	92,4	46,8	94,98	33,29	79,2	62,13	199000	137,02	119,65	66,36	52,19	43,85	98,52
2015.10.08	2013,43	533,16	667	92,47	47,45	95,08	33,09	80,03	62,13	200616	139,04	121,06	66,88	52,54	44,23	98,97
2015.10.09	2014,89	539,8	671,24	93,24	47,11	95,37	33,24	79,26	61,93	199650	139,7	121,33	66,69	52,14	44,16	99,47
2015.10.12	2017,46	550,19	676,43	94,26	47	95,99	33,22	79,3	61,72	200000	140,68	121,9	66,93	52,18	44,3	99,14
2015.10.13	2003,69	548,9	683,17	94,12	46,89	95,45	32,98	79,16	61,55	198578	140,29	121,61	66,73	51,86	44,36	97,92
2015.10.14	1994,24	544,83	680,41	94,07	46,68	94,53	33,04	80,16	59,99	196898,98	134,22	120,27	60,03	51,5	43,99	97,49
2015.10.15	2023,86	562,44	693,02	95,96	47,01	97,15	34,08	81,48	61,89	200499	137,39	121,81	59,33	52,69	44,67	98,28
2015.10.16	2033,11	570,76	695,32	97,54	47,51	98,24	34,41	82,48	62,43	200469	137,6	122,74	58,89	52,88	44,7	99,7
2015.10.19	2033,66	573,15	699,95	98,47	47,62	97,94	34,5	80,99	62,22	200695	138,42	123,1	58,85	52,56	44,7	100,18
2015.10.20	2030,77	560,88	680	97	47,77	97,59	34	80,83	62,52	201480	138,88	122,85	58,75	53,08	45,24	100,27
2015.10.21	2018,94	555,77	671,8	97,11	47,2	97,63	33,46	80,21	62,06	199900	141,19	123,3	58,64	53,12	44,86	100,25
2015.10.22	2052,51	563,91	681,14	99,67	48,03	99,53	33,33	82,89	63,19	206020	146,31	124,36	58,9	54,06	45,89	103,08
2015.10.23	2075,15	599,03	719,33	102,19	52,87	100,31	34,05	82,98	63,87	206584	146,7	124,61	58,3	54,75	46,16	102,43
2015.10.26	2071,18	608,61	731,12	103,77	54,25	99,94	34,16	81,22	63,9	205380	146,7	125,01	58,02	54,29	46,36	102,54
2015.10.27	2065,89	611,01	732,82	103,7	53,69	100,19	34,99	81,09	63,64	203280	148,46	124,47	57,48	54,12	46,17	102,94
2015.10.28	2090,35	617,1	736,92	104,2	53,98	100,48	35,45	82,28	65,5	206940	147,88	123,82	57,64	55,45	46,48	102,74
2015.10.29	2089,41	626,55	744,85	104,88	53,36	101,37	34,77	82,23	65,21	206816,92	147,18	123,63	57,96	55,09	46,4	102,8
2015.10.30	2079,36	625,9	737,39	101,97	52,64	101,03	33,82	82,74	64,25	204596	148,07	123,64	57,24	54,14	46,88	102,19
2015.11.02	2104,05	628,35	747,74	103,31	53,24	102,17	35,06	85,28	65,54	207745	148,4	124,41	57,61	54,85	46,78	101,4
2015.11.03	2109,79	625,31	748,82	102,58	54,15	101,96	34,97	86,85	65,78	206704	148,09	125,66	58,11	54,93	46,45	100,92
2015.11.04	2102,31	640,95	755,31	103,94	54,4	101,94	34,14	85,98	65,85	206120	148,19	125,38	58,37	54,58	46,14	100,62
2015.11.05	2099,93	655,65	760,67	108,76	54,38	102,33	34,15	84,81	66,44	204694	147,97	125,72	58,61	54,86	46,2	100,61
2015.11.06	2099,2	659,37	761,6	107,095	54,92	101,92	33,93	84,47	68,46	203100	147,94	125,98	58,78	55,85	45,78	99,72
2015.11.09	2078,58	655,49	754,77	106,49	54,16	100,84	33,65	81,95	67,39	201000	145,98	124,5	58,49	55,47	45,3	98,88
2015.11.10	2081,72	659,68	758,26	107,91	53,51	101,45	33,79	82,35	67,68	201754	145,15	125,26	58,68	55,91	45,1	98,83
2015.11.11	2075	673,25	765,25	109,01	53,65	101,86	33,74	81,62	67,35	202355	144,99	124,71	57,58	55,8	45,32	99,43
2015.11.12	2045,97	665,6	756,53	108,02	53,32	100,27	33,39	79,41	66	199371	142,54	123,81	56,95	55,17	44,83	98,37
2015.11.13	2023,04	642,35	740,07	103,95	52,84	99,88	33,27	78,1	65,56	197825	142,59	120	56,42	54,57	44,23	98,04
2015.11.16	2053,19	647,81	750,42	104,04	53,765	101,22	33,16	80,9	66,51	199800	144,42	120,84	57,87	55,27	45,04	99,56
2015.11.17	2050,44	643,3	745,98	105,13	52,97	101,5	32,87	79,96	66,13	200045	146,08	126,18	59,92	54,96	45,08	98,83
2015.11.18	2083,58	663,54	760,01	107,77	53,85	102,67	33,31	80,74	67,45	204280	148,28	126,54	60,93	55,67	45,38	100,27
2015.11.19	2081,24	661,27	759,94	106,26	53,94	102,49	32,29	80,3	67,66	204901	149,24	126,86	60,7	55,97	45,76	100,93
2015.11.20	2089,17	668,45	777	107,32	54,19	102,48	32,18	79,79	67,54	204600	149,4	130,21	60,07	55,82	45,39	100,1
2015.11.23	2086,59	678,99	776,7	106,95	54,19	102,77	31,33	80,28	66,88	203779	148,34	132,5	60,26	55,6	44,99	100,85
2015.11.24	2089,14	671,15	769,63	105,74	54,25	102,04	31,97	81,88	66,78	203360	148,65	133,6	59,92	55,28	45,19	100,63
2015.11.25	2088,87	675,34	769,26	105,41	53,69	101,96	32,87	81,25	66,86	202285	147,43	134,65	60,24	55,22	44,92	100,5
2015.11.26	2088,87	675,34	769,26	105,41	53,69	101,96	32,87	81,25	66,86	202285	147,43	134,65	60,24	55,22	44,92	100,5
2015.11.27	2090,11	673,26	771,97	105,45	53,93	102,37	32,79	81,23	67,17	201624	146,95	134,74	59,89	55,39	45,23	100,74
2015.11.30	2080,41	664,8	762,85	104,24	54,35	101,24	32,77	81,66	66,68	201360	145,45	133,88	58,84	55,1	45,45	100,16
2015.12.01	2102,63	679,06	783,79	107,12	55,22	102,36	33,62	81,89	67,61	204945	147,74	134,43	58,99	55,71	45,58	101,06
2015.12.02	2079,51	676,01	777,85	106,07	55,21	102,05	32,9	79,55	66,66	202930	146,96	133,81	58,35	55,08	44,92	99,48
2015.12.03	2049,62	666,25	768,2	104,38	54,2	100,79	32,39	78,41	65,8	198801	145,56	130,93	59,04	54,2	44,56	99,09
2015.12.04	2091,69	672,64	779,21	106,18	55,91	102,95	32,8	78,86	67,89	204500	148,5	134,53	59,66	55,67	45,71	101,06
2015.12.07	2077,07	669,83	772,99	105,61	55,81	103,32	32,66	76,8	67	203500	148,45	133,93	60,5	55,42	46,06	100,67
2015.12.08	2063,59	677,33	775,14	106,49	55,79	102,42	32,53	74,63	65,96	200105	144,99	133,84	59,61	54,4	45,7	100,17
2015.12.09	2047,62	664,79	762,55	104,6	54,98	102,15	32,29	75,63	65,46	197660	144,24	131,9	59,13	54,12	45,36	99,13
2015.12.10	2052,23	662,32	760,04	105,42	55,27	102,64	32,36	75,69	65,61	197505	146,41	132,54	59,56	54,34	45,32	98,9
2015.12.11	2012,37	640,15	750,42	102,12	54,06	101,68	32,06	74,34	64,07	195756,88	144,62	130,44	59,36	53,31	44,82	97,78
2015.12.14	2021,94	657,91	762,54	104,66	55,14	102,15	32,18	76,03	64,27	198040	143	132,01	60,39	53,2	45,45	97,95
2015.12.15	2043,41	658,64	760,09	104,55	55,2	104,13	32,26	79,43	66,1	202439,97	146,53	131,29	59,64	54,91	45,55	99,39
2015.12.16	2073,07	675,77	776,59	106,79	56,13	105,25	32,58	79,15	67,53	203800	148,11	132,9	60,3	55,85	46,51	101,08
2015.12.17	2041,89	670,65	769,83	106,22	55,7	103,64	32,33	77,96	66,28	201000	145,56	131,35	58,98	55,47	46,1	100,2
2015.12.18	2005,55	664,14	756,85	104,04	54,13	101,95	31,99	77,28	64,4	194720	139,58	130,29	58,85	53,79	45,56	97,9
